"Ring","Effect","Std_Error","Percent_Change","t_stat","p_value"
"CPZ (Inside)",-0.0927197018252136,0.0607433106449295,-8.85510580306043,-1.52641831406259,0.126905719515819
"Ring 1 (0-5km)",-0.231526371422791,0.0627153813150615,-20.6678225796654,-3.69169997164935,0.000222760151872947
"Ring 2 (5-15km)",-0.164770565159924,0.0291096185632547,-15.1911737237269,-5.66034779198086,1.51066523734755e-08
"Ring 3 (15-30km)",-0.0795136936382174,0.0246941814629694,-7.64346270880724,-3.21993639503515,0.00128219041742561
"Ring 4 (30-110km)",0,NA,0,NA,NA
