"Specification","Coefficient","SE","CI_lower","CI_upper","Bandwidth","N_left","N_right"
"RDD Optimal BW",-6.15048589120426e-05,0.0724715673692474,-0.142103166805805,0.141980157087981,1.62238836928343,2762,989
"RDD 1km BW",-0.0524151508387755,0.0945859658282156,-0.237800237305014,0.132969935627463,1,2762,989
"RDD 2km BW",0.00507319196258782,0.0658557844784493,-0.124001773788805,0.13414815771398,2,2762,989
"RDD Quadratic",-0.0715786723050111,0.117266209649621,-0.301416219821792,0.15825887521177,1.49463133850577,2762,989
"RDD Log Visits",-6.15048589120426e-05,0.0724715673692474,-0.142103166805805,0.141980157087981,1.62238836928343,2762,989
"RDD with Controls",-0.0128114671752765,0.0810585383148061,-0.171683282911756,0.146060348561203,1.27078010093447,2762,989
