"Ring","Effect","Std_Error","Percent_Change","t_stat","p_value"
"CPZ (Inside)",-0.0775497402036204,0.0507526659517604,-7.46190053872176,-1.52799343146487,0.12651416882489
"Ring 1 (0-5km)",-0.216410798986841,0.0529927190122397,-19.4595625395245,-4.08378364085935,4.43082874403977e-05
"Ring 2 (5-15km)",-0.157820563866161,0.0269581850983427,-14.5996992781101,-5.85427258142327,4.79102291173206e-09
"Ring 3 (15-30km)",-0.0786640826637285,0.0259805357778696,-7.56496223845033,-3.02780833067866,0.00246334273482818
"Ring 4 (30-110km)",0,NA,0,NA,NA
